	log2FoldChange	padj	external_gene_name	Description
ENSG00000146674	-1.11103929700965	6.80912843956327e-49	IGFBP3	insulin like growth factor binding protein 3
ENSG00000115738	1.28087496507572	1.0227475089173901e-47	ID2	inhibitor of DNA binding 2
ENSG00000197943	-1.64824935991387	2.0957932693362803e-46	PLCG2	phospholipase C gamma 2
ENSG00000183018	-1.0258370332689	3.4544246307182702e-46	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate
ENSG00000241635	1.23506873008039	3.4676282929685102e-46	UGT1A1	UDP glucuronosyltransferase family 1 member A1
ENSG00000102804	1.30201776151871	5.3230033000143106e-46	TSC22D1	TSC22 domain family member 1
ENSG00000213145	2.35919322509843	5.78733675058138e-46	CRIP1	cysteine rich protein 1
ENSG00000105388	1.31669690053877	6.22330353467852e-46	CEACAM5	CEA cell adhesion molecule 5
ENSG00000205403	-2.19795330095169	8.87696862141272e-46	CFI	complement factor I
ENSG00000147027	-1.18685677841342	1.1898737422413001e-45	TMEM47	transmembrane protein 47
ENSG00000243649	-1.20174828711557	1.19609452943765e-45		
ENSG00000129451	1.69962374292919	1.31676797020512e-45	KLK10	kallikrein related peptidase 10
ENSG00000114854	1.4636985861959	2.48753510029648e-45	TNNC1	troponin C1, slow skeletal and cardiac type
ENSG00000235750	1.61000682429456	4.56157703188014e-45	KIAA0040	KIAA0040
ENSG00000205922	2.26031646120992	9.75106125039618e-45	ONECUT3	one cut homeobox 3
ENSG00000124766	1.37892008289091	1.09557031631557e-44	SOX4	SRY-box transcription factor 4
ENSG00000138166	1.21968802148193	1.36792273525492e-44	DUSP5	dual specificity phosphatase 5
ENSG00000163286	1.51436548191699	2.10914021941196e-44	ALPG	alkaline phosphatase, germ cell
ENSG00000105519	-1.97260223919048	3.6493182830965103e-44	CAPS	calcyphosine
ENSG00000106688	1.64121777581814	7.064152622670621e-44	SLC1A1	solute carrier family 1 member 1
ENSG00000075213	1.40072363565895	9.44226837058509e-43	SEMA3A	semaphorin 3A
ENSG00000269113	-4.80523983346606	1.1850692242646498e-42	TRABD2B	TraB domain containing 2B
ENSG00000105835	-1.02760700024226	1.83350011530616e-42	NAMPT	nicotinamide phosphoribosyltransferase
ENSG00000117983	-1.14118596880277	2.20085382001218e-42	MUC5B	mucin 5B, oligomeric mucus/gel-forming
ENSG00000111335	1.74548455347914	5.90217412283983e-42	OAS2	2'-5'-oligoadenylate synthetase 2
ENSG00000175928	-3.83941395077102	6.195277772783319e-42	LRRN1	leucine rich repeat neuronal 1
ENSG00000173175	-1.16719800422826	1.83617756750053e-41	ADCY5	adenylate cyclase 5
ENSG00000109511	1.13678405936282	2.76869224303814e-41	ANXA10	annexin A10
ENSG00000100600	1.48025940437747	4.2890961618415597e-41	LGMN	legumain
ENSG00000105855	-1.15337930821816	6.27411844260613e-41	ITGB8	integrin subunit beta 8
ENSG00000136928	-2.1959848300971	9.55209480036043e-41	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
ENSG00000021355	1.42539901422277	1.24989153404179e-40	SERPINB1	serpin family B member 1
ENSG00000111863	-4.10353625684373	1.54434881719955e-40	ADTRP	androgen dependent TFPI regulating protein
ENSG00000144445	-2.18135333492568	2.93032453265351e-40	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
ENSG00000126709	1.90271019253617	5.21339120738667e-40	IFI6	interferon alpha inducible protein 6
ENSG00000117477	6.96038325702945	5.83434047860449e-40	CCDC181	coiled-coil domain containing 181
ENSG00000185567	1.61143075970751	7.38276912271672e-40	AHNAK2	AHNAK nucleoprotein 2
ENSG00000179023	-1.40436085893524	1.16432699996915e-39	KLHDC7A	kelch domain containing 7A
ENSG00000176903	1.6755785631268	1.31522199593241e-39	PNMA1	PNMA family member 1
ENSG00000136999	-2.19198399642934	2.20313913656077e-39	CCN3	cellular communication network factor 3
ENSG00000070526	1.9460719120392	1.71355432790981e-38	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
ENSG00000167653	-1.40486912429552	1.88594411162382e-38	PSCA	prostate stem cell antigen
ENSG00000180573	1.19463884586395	5.38141425400486e-38	H2AC6	H2A clustered histone 6
ENSG00000173848	1.06218172579032	6.63627775045093e-38	NET1	neuroepithelial cell transforming 1
ENSG00000260542	9.43419038117544	3.12447205532323e-37		
ENSG00000006210	-2.50373843008503	3.35623244085708e-37	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000075223	-1.19202726579784	7.01466278796576e-37	SEMA3C	semaphorin 3C
ENSG00000071073	-1.74252513928857	7.03724234265299e-37	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
ENSG00000126822	1.09409006515258	1.4691906252572698e-36	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3
ENSG00000166741	-1.02088960891796	1.4691906252572698e-36	NNMT	nicotinamide N-methyltransferase
ENSG00000132911	-1.83153771206747	3.0396424611141e-36	NMUR2	neuromedin U receptor 2
ENSG00000187837	1.88670752571065	3.33126020522205e-36	H1-2	H1.2 linker histone, cluster member
ENSG00000110719	-1.37170514885159	4.43635337417284e-36	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3
ENSG00000140105	1.25058721476389	5.3986577715969796e-36	WARS1	tryptophanyl-tRNA synthetase 1
ENSG00000007062	-1.03788887034717	1.08787350202431e-35	PROM1	prominin 1
ENSG00000160255	-1.36922307535188	1.34299373053707e-35	ITGB2	integrin subunit beta 2
ENSG00000185518	-2.83677434697031	2.6180868963068103e-35	SV2B	synaptic vesicle glycoprotein 2B
ENSG00000182809	-2.31463513715297	3.2969860771374503e-35	CRIP2	cysteine rich protein 2
ENSG00000144460	-2.22581363525753	9.025843514001299e-35	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
ENSG00000108176	-2.94632362016059	2.99131224227193e-34	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
ENSG00000155760	-1.21394712992809	3.3653487947791998e-34	FZD7	frizzled class receptor 7
ENSG00000187608	1.37998226141617	5.95452897928126e-34	ISG15	ISG15 ubiquitin like modifier
ENSG00000101443	-1.90301651122416	9.42364931410208e-34	WFDC2	WAP four-disulfide core domain 2
ENSG00000182557	-2.09306134487879	1.38891114025224e-33	SPNS3	SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)
ENSG00000033170	1.02913766225245	2.99613242420832e-33	FUT8	fucosyltransferase 8
ENSG00000109686	1.0650079220276	1.55526481753768e-32		
ENSG00000196126	-3.17702634706723	3.46537467568593e-32		
ENSG00000198848	1.68535213118931	3.4798565502571603e-32		
ENSG00000001617	-2.4474714822949	3.77164456084317e-32	SEMA3F	semaphorin 3F
ENSG00000121716	-1.22225874808363	7.01301562357328e-32	PILRB	paired immunoglobin like type 2 receptor beta
ENSG00000137747	-2.11190598195702	1.4586624849206401e-31	TMPRSS13	transmembrane serine protease 13
ENSG00000091073	-1.44749214357928	1.0141922135075099e-30		
ENSG00000127399	-1.37202509686588	1.0388590532643499e-30	LRRC61	leucine rich repeat containing 61
ENSG00000065320	-1.35582272196772	1.12457001983792e-30	NTN1	netrin 1
ENSG00000124570	1.28754109082334	1.2363402853131e-30	SERPINB6	serpin family B member 6
ENSG00000182985	-4.02988368297452	2.8048285630417797e-30	CADM1	cell adhesion molecule 1
ENSG00000127324	1.17832560910149	5.8144955060651494e-30	TSPAN8	tetraspanin 8
ENSG00000261713	1.98250525382621	6.896676199699649e-30	SSTR5-AS1	SSTR5 antisense RNA 1
ENSG00000185745	1.10517015308254	1.78793890055628e-29	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ENSG00000261371	-4.85782328667647	2.80165892351009e-29	PECAM1	platelet and endothelial cell adhesion molecule 1
ENSG00000242588	-1.27580665039589	3.08469388398142e-29		
ENSG00000140526	1.1522006304638	3.1461383403034e-29	ABHD2	abhydrolase domain containing 2, acylglycerol lipase
ENSG00000183779	-1.44507700661452	3.57720850845246e-29	ZNF703	zinc finger protein 703
ENSG00000289740	-1.15240133113344	3.65858676319704e-29	TALAM1	TALAM1 transcript, MALAT1 antisense RNA
ENSG00000249550	-2.50914407231339	5.97391904594179e-29	LINC01234	long intergenic non-protein coding RNA 1234
ENSG00000196083	-1.28028874665056	7.25553594412513e-29	IL1RAP	interleukin 1 receptor accessory protein
ENSG00000036828	5.46997476508718	9.12129777583318e-29	CASR	calcium sensing receptor
ENSG00000100994	1.04092119557374	9.49879777051075e-29	PYGB	glycogen phosphorylase B
ENSG00000142619	-4.13779343909944	1.0095412209131699e-28		
ENSG00000074370	1.39981620995502	1.34929234444491e-28	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
ENSG00000163453	-2.36132688870456	1.85692950029856e-28	IGFBP7	insulin like growth factor binding protein 7
ENSG00000126016	-2.14658032532928	3.0488200988002197e-28	AMOT	angiomotin
ENSG00000206075	1.176260837448	4.695363422284749e-28	SERPINB5	serpin family B member 5
ENSG00000163993	1.23996739310856	5.54120867984875e-28	S100P	S100 calcium binding protein P
ENSG00000184371	-1.03476981405844	7.5482622210409795e-28	CSF1	colony stimulating factor 1
ENSG00000188064	-1.18843097381927	8.58894703387789e-28	WNT7B	Wnt family member 7B
ENSG00000090382	1.03310238461437	1.18962889899144e-27	LYZ	lysozyme
ENSG00000196611	4.90848246245045	1.3096494324087e-27	MMP1	matrix metallopeptidase 1
ENSG00000198535	1.6932579965169	2.3881690660913e-27	C2CD4A	C2 calcium dependent domain containing 4A
ENSG00000148175	-1.72515696023723	2.71506942682127e-27	STOM	stomatin
ENSG00000043039	-1.3152366788807	5.39313258241492e-27	BARX2	BARX homeobox 2
ENSG00000112699	1.46964491497918	5.39620342949992e-27	GMDS	GDP-mannose 4,6-dehydratase
ENSG00000127954	-1.08587896607093	6.52815932078779e-27	STEAP4	STEAP4 metalloreductase
ENSG00000107984	1.376122650988	1.04711182137168e-26	DKK1	dickkopf WNT signaling pathway inhibitor 1
ENSG00000187867	-3.29700015679836	1.4148798865836798e-26		
ENSG00000155629	-1.66662879799494	1.5176155095199e-26	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1
ENSG00000151364	2.34908936332023	1.73964706169468e-26	KCTD14	potassium channel tetramerization domain containing 14
ENSG00000158406	2.1571597487961	1.76973203864579e-26	H4C8	H4 clustered histone 8
ENSG00000181143	-5.26033253622865	2.0027233569925498e-26		
ENSG00000213626	1.38342249007094	3.56872431709318e-26	LBH	LBH regulator of WNT signaling pathway
ENSG00000101384	1.48068222694089	7.65046557241298e-26	JAG1	jagged canonical Notch ligand 1
ENSG00000169213	2.24055088327045	9.8416950604716e-26	RAB3B	RAB3B, member RAS oncogene family
ENSG00000145908	-3.22594023475986	1.11939116620716e-25	ZNF300	zinc finger protein 300
ENSG00000268104	-2.9825316223762	1.18959035723412e-25	SLC6A14	solute carrier family 6 member 14
ENSG00000159692	-1.06475854882598	1.6914947607688601e-25	CTBP1	C-terminal binding protein 1
ENSG00000120675	1.1070195725909	1.9049966449515e-25	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15
ENSG00000177707	-1.55042095703665	2.14892701911805e-25	NECTIN3	nectin cell adhesion molecule 3
ENSG00000110723	-1.36615175126688	2.2211006741158e-25	EXPH5	exophilin 5
ENSG00000223865	-4.09219332750234	2.64029143308716e-25		
ENSG00000000971	-2.04312748584786	7.625648428590951e-25	CFH	complement factor H
ENSG00000100714	1.00367246151297	8.250180450335811e-25	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
ENSG00000100558	1.16402757746072	8.37173956897121e-25	PLEK2	pleckstrin 2
ENSG00000137880	-3.02240728570844	9.064425330987371e-25	GCHFR	GTP cyclohydrolase I feedback regulator
ENSG00000169715	-1.35011640116563	1.78381905464819e-24	MT1E	metallothionein 1E
ENSG00000090376	-1.32530325350016	2.13234883819186e-24	IRAK3	interleukin 1 receptor associated kinase 3
ENSG00000233237	-1.65356246131807	3.11805410729089e-24	LINC00472	long intergenic non-protein coding RNA 472
ENSG00000110002	-2.26718068956109	6.12326955652508e-24	VWA5A	von Willebrand factor A domain containing 5A
ENSG00000163565	-2.07529424228049	8.18349374181294e-24	IFI16	interferon gamma inducible protein 16
ENSG00000115756	1.29479442029324	9.016587527692551e-24	HPCAL1	hippocalcin like 1
ENSG00000142089	1.04034473535992	1.1784151079075501e-23	IFITM3	interferon induced transmembrane protein 3
ENSG00000151651	-1.1676667925908	2.73186003760379e-23	ADAM8	ADAM metallopeptidase domain 8
ENSG00000115009	1.18815607805692	2.9197321211798903e-23	CCL20	C-C motif chemokine ligand 20
ENSG00000115414	-1.7430452995008	4.15666524146562e-23	FN1	fibronectin 1
ENSG00000091136	-1.24711084668393	5.32274904380114e-23	LAMB1	laminin subunit beta 1
ENSG00000172331	-1.49100495417296	5.863324284063651e-23	BPGM	bisphosphoglycerate mutase
ENSG00000186832	2.40693549486305	5.863324284063651e-23	KRT16	keratin 16
ENSG00000102908	-1.10499741553177	7.20913963269313e-23	NFAT5	nuclear factor of activated T cells 5
ENSG00000196549	-2.23659260674039	7.20913963269313e-23	MME	membrane metalloendopeptidase
ENSG00000134138	-1.39884375254375	8.325378792168121e-23	MEIS2	Meis homeobox 2
ENSG00000141448	1.12237464200568	9.65845829664946e-23	GATA6	GATA binding protein 6
ENSG00000042980	-1.7937383304929	1.00093691155192e-22	ADAM28	ADAM metallopeptidase domain 28
ENSG00000175544	-5.81185519924722	1.29311632446073e-22	CABP4	calcium binding protein 4
ENSG00000171243	-4.35705601087483	2.11829914165915e-22	SOSTDC1	sclerostin domain containing 1
ENSG00000261052	1.70632768623032	2.2346896012480597e-22	SULT1A3	sulfotransferase family 1A member 3
ENSG00000101846	-1.1622253920509	2.7323961935211297e-22	STS	steroid sulfatase
ENSG00000134955	-1.9460558574663	7.31448089617227e-22	SLC37A2	solute carrier family 37 member 2
ENSG00000182870	-1.99116890781959	1.33697246026375e-21		
ENSG00000152784	2.58271078079721	1.5182304144998201e-21	PRDM8	PR/SET domain 8
ENSG00000162078	-2.32935462397795	1.74316901602278e-21		
ENSG00000136048	-1.03424371790763	1.94247454114667e-21	DRAM1	DNA damage regulated autophagy modulator 1
ENSG00000185885	1.09324304847719	2.72894649009968e-21	IFITM1	interferon induced transmembrane protein 1
ENSG00000164199	-1.63021767320143	2.85850645320176e-21	ADGRV1	adhesion G protein-coupled receptor V1
ENSG00000154127	-1.30794285378177	2.88294127655007e-21	UBASH3B	ubiquitin associated and SH3 domain containing B
ENSG00000104783	1.5953047713134	3.62944673137288e-21	KCNN4	potassium calcium-activated channel subfamily N member 4
ENSG00000165655	-1.22568991244897	4.6202364096833705e-21	ZNF503	zinc finger protein 503
ENSG00000251562	-1.40313859091122	6.0638518730372606e-21	MALAT1	metastasis associated lung adenocarcinoma transcript 1
ENSG00000187601	-2.9086689141486	6.1446679372885805e-21	MAGEH1	MAGE family member H1
ENSG00000139278	2.44592594944577	7.28456813353993e-21	GLIPR1	GLI pathogenesis related 1
ENSG00000078401	1.18493773237562	1.14507490121162e-20	EDN1	endothelin 1
ENSG00000053918	-1.2697030426408	1.57638924175049e-20		
ENSG00000111110	-1.08416393277362	1.86484283002528e-20	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
ENSG00000121552	-3.98534324234439	1.87018638518211e-20	CSTA	cystatin A
ENSG00000189120	-1.41346152184707	1.95926574660628e-20	SP6	Sp6 transcription factor
ENSG00000068079	1.13122783284844	2.12303323218408e-20	IFI35	interferon induced protein 35
ENSG00000164684	-1.25144205003506	2.75149377727022e-20	ZNF704	zinc finger protein 704
ENSG00000176155	-1.63520080215704	3.17268557743308e-20	CCDC57	coiled-coil domain containing 57
ENSG00000138131	1.04083574256152	4.02845148137442e-20	LOXL4	lysyl oxidase like 4
ENSG00000214357	-1.42474798235293	4.9098382732099304e-20	NEURL1B	neuralized E3 ubiquitin protein ligase 1B
ENSG00000106003	1.03769426704672	5.1203817647403003e-20	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENSG00000070081	1.12663155534963	6.998652196174721e-20	NUCB2	nucleobindin 2
ENSG00000116711	-1.24877870488842	8.783773602856411e-20	PLA2G4A	phospholipase A2 group IVA
ENSG00000131979	1.1569692583254	1.1633206646140602e-19	GCH1	GTP cyclohydrolase 1
ENSG00000011105	-1.23422385577903	1.33038924626802e-19	TSPAN9	tetraspanin 9
ENSG00000170786	1.16266135648165	1.43855410184685e-19	SDR16C5	short chain dehydrogenase/reductase family 16C member 5
ENSG00000221890	-1.06515342992427	1.93937738212802e-19	NPTXR	neuronal pentraxin receptor
ENSG00000102854	2.45664952620666	2.05120816244451e-19	MSLN	mesothelin
ENSG00000100889	1.114763184971	2.58053318660932e-19		
ENSG00000122490	1.16994523722555	2.84261250483514e-19	SLC66A2	solute carrier family 66 member 2
ENSG00000204219	-1.43686334546389	3.5217960568185403e-19		
ENSG00000227507	2.47780899017114	3.99230918718664e-19	LTB	lymphotoxin beta
ENSG00000157214	-1.02501502249984	4.74365935268047e-19	STEAP2	STEAP2 metalloreductase
ENSG00000157827	-1.04293062718853	5.11247100127142e-19	FMNL2	formin like 2
ENSG00000154655	-4.27482167256962	5.85469670432506e-19	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4
ENSG00000106538	-2.94799152117571	5.91032812069884e-19	RARRES2	retinoic acid receptor responder 2
ENSG00000173706	-1.95555007155527	7.5953591935247e-19	HEG1	heart development protein with EGF like domains 1
ENSG00000258790	1.0509460890475	8.08015773562872e-19		
ENSG00000265933	-5.41082773862385	1.3700074612772499e-18	LINC00668	long intergenic non-protein coding RNA 668
ENSG00000231389	-4.69742762920013	2.14890140023484e-18		
ENSG00000185483	-1.38768105921012	2.32171895792139e-18	ROR1	receptor tyrosine kinase like orphan receptor 1
ENSG00000182551	1.06682069254315	2.46491722215735e-18	ADI1	acireductone dioxygenase 1
ENSG00000108821	1.16267300430466	2.56359348826364e-18	COL1A1	collagen type I alpha 1 chain
ENSG00000235269	-1.80013384831205	3.0209303774361098e-18	LINC02331	long intergenic non-protein coding RNA 2331
ENSG00000213886	1.26744097745831	3.8049494840812e-18	UBD	ubiquitin D
ENSG00000141759	1.05630336239769	4.4891496291697794e-18	TXNL4A	thioredoxin like 4A
ENSG00000174469	-1.56761195832283	4.72423963459131e-18	CNTNAP2	contactin associated protein 2
ENSG00000173467	-1.58843001928456	5.45685287583011e-18	AGR3	anterior gradient 3, protein disulphide isomerase family member
ENSG00000197406	1.78929793340955	5.8866772031177595e-18	DIO3	iodothyronine deiodinase 3
ENSG00000111802	1.14390938873229	5.8945613914167004e-18	TDP2	tyrosyl-DNA phosphodiesterase 2
ENSG00000066427	1.50512880728623	7.306333381491359e-18	ATXN3	ataxin 3
ENSG00000179674	1.24224865054037	8.928256184273389e-18	ARL14	ADP ribosylation factor like GTPase 14
ENSG00000137868	-1.24847233833277	9.111595175156729e-18		
ENSG00000166796	8.32827626308698	2.89576942201886e-17	LDHC	lactate dehydrogenase C
ENSG00000172590	1.14859467295985	2.98010793952958e-17	MRPL52	mitochondrial ribosomal protein L52
ENSG00000163220	-1.24892119450183	4.1238095176892903e-17	S100A9	S100 calcium binding protein A9
ENSG00000213928	1.11027567463107	5.68421157110941e-17		
ENSG00000100968	-1.67605826387651	5.90181442341822e-17		
ENSG00000070404	1.08178191080937	5.9385367354769e-17	FSTL3	follistatin like 3
ENSG00000160991	-1.06344894383455	6.07031669290333e-17	ORAI2	ORAI calcium release-activated calcium modulator 2
ENSG00000100079	-3.2975152408744	6.20045037086797e-17	LGALS2	galectin 2
ENSG00000089723	1.76406576054286	6.53177450234745e-17		
